parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
beta[1],-0.030703029063288156,4.772040913192101e-4,0.027890504912894503,-0.0866211445793599,-0.049791066429384384,-0.030217118018121363,-0.011465499857081719,0.022504279612089114,3415.8943990479484,1.0006505668164027
beta[2],-0.26567075689411473,6.655842371585295e-4,0.042234762972590455,-0.3473286057287759,-0.29451645093200873,-0.26601217405072286,-0.23750118182484478,-0.18174252213759517,4026.5589914471893,1.0003344771076865
beta[3],0.022006295730784844,6.854029398434721e-4,0.044657649446120974,-0.06540146858464829,-0.008036840882624182,0.021135110964544852,0.05136999403166394,0.11085245600061147,4245.2160231141825,0.9991436397142703
beta[4],0.1639782609625206,0.003943386695869389,0.16106285141872576,-0.15412164388439215,0.052633701801894486,0.16384186477071194,0.2731263274937611,0.4845077244178965,1668.215043266952,1.0008938141658994
beta[5],0.3248317306261081,0.00441440727291385,0.19773124089567987,-0.06705167925759578,0.1871396490322047,0.32841230764504326,0.4579340066454192,0.7025216459074611,2006.3457965476332,1.0012864299539366
beta[6],0.0068947355695329875,0.004152681561388838,0.17375999018041985,-0.33191901549537955,-0.1089652622643405,0.004834000362064227,0.12415425873505209,0.3429639857455677,1750.8232599966518,1.0004594762129446
beta[7],-0.20438832714021143,0.004355010659109702,0.18661633889463458,-0.5707449917605404,-0.3322452469472499,-0.20183506815241276,-0.07683393576731573,0.162596473063482,1836.2038153758494,1.0010581679573767
beta[8],-0.23256870510144192,0.0013560260579969174,0.08238620890674511,-0.3940791116101157,-0.287136561983241,-0.23294080330353015,-0.17680128742828202,-0.07148705530736954,3691.2458111482247,0.9996917483578726
beta[9],0.2222399620825331,0.0025856514107940147,0.13399359896707563,-0.04291764507978183,0.13053247978062493,0.22175906397202205,0.31141957969822254,0.490465324403176,2685.5185438789913,1.0002218393764748
beta[10],0.06248816339339583,0.002491753529538456,0.1265496714535673,-0.182189632113199,-0.021803656192581393,0.06079875875323223,0.148731312370174,0.306037102888412,2579.3595196760148,0.9998405980142043
beta[11],0.14295997980909314,0.002569151665147804,0.13558405988975292,-0.11934591070169419,0.05112580489770151,0.1389309571843501,0.23309733250205994,0.41087763743421285,2785.0806934667085,1.0001032606770885
c[1],-1.7009331112225223,0.005188823409295895,0.2192966730414242,-2.147244548984399,-1.845863950144134,-1.6963741701965624,-1.5528013578969486,-1.280815128341381,1786.1844522992292,0.9996686715730656
c[2],1.0103274561224693,0.004936609146017502,0.21420694899436837,0.5804020259197247,0.8687348954992316,1.0097067343326382,1.1564256260056915,1.4257375748427918,1882.8235596822353,0.9996787815857436
log_lik[1],-1.9843564980867527,0.0022962922311364053,0.13146250098723405,-2.2409963297283495,-2.072308116139758,-1.9859699191977986,-1.8929152537992742,-1.7320461891697354,3277.5510691522677,0.9994622331957734
