confinan_ord,n,age_mean,age_sd,income_mean,income_sd
1,379,52.168865435356196,18.272568318169228,10.968337730870712,2.5248081559319346
2,1274,50.23861852433281,17.500072044933095,11.11773940345369,2.378606384889192
3,579,45.29533678756476,15.32499696084948,10.974093264248705,2.606423857880147
