id,confinan_ord,polviews,polviews_bin,degree,age,age_std,sex,income,income_std,region
2595,2,4,Moderate,3,68,1.0737518703706497,2,12,0.3942931976883675,2
2596,2,4,Moderate,4,43,-0.341627649693956,2,12,0.3942931976883675,2
2597,2,2,Liberal,3,36,-0.7379339153120456,1,12,0.3942931976883675,2
2598,3,6,Conservative,4,77,1.5832884975939077,2,12,0.3942931976883675,2
2601,2,2,Liberal,1,48,-0.05855174568103485,2,12,0.3942931976883675,2
2602,2,6,Conservative,4,36,-0.7379339153120456,2,12,0.3942931976883675,2
2603,1,4,Moderate,2,64,0.8472911471603127,1,12,0.3942931976883675,2
2605,3,2,Liberal,3,32,-0.9643946385223824,1,12,0.3942931976883675,2
2606,2,4,Moderate,1,63,0.7906759663577285,1,11,-0.009520157690665056,2
2607,3,7,Conservative,1,26,-1.3040857233378877,2,11,-0.009520157690665056,2
2608,2,3,Liberal,1,29,-1.134240180930135,2,1,-4.04765371148099,2
2609,3,4,Moderate,0,32,-0.9643946385223824,2,3,-3.2400270007229253,2
2611,1,1,Liberal,1,54,0.2811393391344705,1,3,-3.2400270007229253,2
2614,2,4,Moderate,2,30,-1.077625000127551,2,12,0.3942931976883675,2
2615,1,4,Moderate,1,62,0.7340607855551442,1,9,-0.8171468684487302,2
2616,2,4,Moderate,1,81,1.8097492208042445,2,11,-0.009520157690665056,2
2618,2,2,Liberal,2,67,1.0171366895680654,2,11,-0.009520157690665056,2
2619,1,4,Moderate,2,46,-0.1717821072862033,2,12,0.3942931976883675,2
2622,2,4,Moderate,0,64,0.8472911471603127,1,4,-2.836213645343893,2
2623,3,3,Liberal,1,21,-1.587161627350809,1,2,-3.643840356101958,2
2624,3,3,Liberal,2,65,0.9039063279628969,2,12,0.3942931976883675,2
2631,3,4,Moderate,1,65,0.9039063279628969,2,9,-0.8171468684487302,2
2632,2,6,Conservative,2,27,-1.2474705425353034,1,12,0.3942931976883675,2
2634,2,2,Liberal,4,76,1.5266733167913233,1,12,0.3942931976883675,2
2635,2,6,Conservative,3,56,0.3943697007396389,2,12,0.3942931976883675,2
2639,2,4,Moderate,1,45,-0.2283972880887875,2,12,0.3942931976883675,2
2640,3,4,Moderate,3,62,0.7340607855551442,1,12,0.3942931976883675,2
2641,1,4,Moderate,4,37,-0.6813187345094613,2,12,0.3942931976883675,2
2642,2,3,Liberal,1,43,-0.341627649693956,1,12,0.3942931976883675,2
2643,1,4,Moderate,3,69,1.1303670511732338,2,12,0.3942931976883675,2
2644,3,4,Moderate,1,22,-1.5305464465482246,1,12,0.3942931976883675,2
2645,3,2,Liberal,1,49,-0.00193656487845063,1,12,0.3942931976883675,2
2647,2,4,Moderate,1,41,-0.4548580112991244,2,12,0.3942931976883675,2
2648,2,2,Liberal,1,68,1.0737518703706497,2,12,0.3942931976883675,2
2651,2,4,Moderate,1,61,0.67744560475256,2,9,-0.8171468684487302,2
2653,2,4,Moderate,3,31,-1.0210098193249666,2,10,-0.4133335130696976,2
2655,3,2,Liberal,1,20,-1.643776808153393,1,10,-0.4133335130696976,2
2656,2,6,Conservative,1,75,1.470058135988739,2,12,0.3942931976883675,2
2657,2,4,Moderate,1,29,-1.134240180930135,2,11,-0.009520157690665056,2
2662,3,4,Moderate,1,21,-1.587161627350809,2,12,0.3942931976883675,2
