parameter,mean_nuts,sd_nuts,q025_nuts,q50_nuts,q975_nuts,mean_vi,sd_vi,q025_vi,q50_vi,q975_vi,abs_mean_diff,sd_ratio_vi_to_nuts
alpha[2],0.00521339952208383,0.89249291921649,-1.795717086209313,0.02415463599914284,1.69248596461443,0.649388152775,0.08491156632621133,0.4617253,0.654895,0.791740175,0.6441747532529161,0.09513976469500093
alpha[3],0.09326076527957684,0.8888221915929928,-1.6527041763274248,0.1106963165730652,1.8197925350373216,0.70787789975,0.08422030716395486,0.5564937249999999,0.704349,0.8893225249999999,0.6146171344704232,0.09475495544616286
mu_alpha,0.08234801540956187,0.8811006485143539,-1.6697105218557684,0.09723607401936092,1.7887870959923706,0.69358369675,0.045772925780065754,0.602453375,0.6933775,0.78411205,0.6112356813404382,0.05194971296099333
c[1],-1.4899981715977322,0.9045849027443902,-3.24895326974174,-1.4596356354023827,0.25984748067273394,-0.894135973,0.05278916324489608,-0.99854085,-0.8951279999999999,-0.7907966000000001,0.5958621985977322,0.05835733393818622
alpha[1],0.145325559876235,0.8896712001045615,-1.6330702674659958,0.16192907920303226,1.8552310863217576,0.73416577625,0.075926384000119,0.6049003250000001,0.7280774999999999,0.8976222750000002,0.588840216373765,0.08534207243214742
c[2],1.2246340636926092,0.903181047095306,-0.5413682455476391,1.2571420771529211,2.983875520339825,1.7741799975,0.07130153327795226,1.634562,1.773505,1.9146752500000002,0.5495459338073909,0.07894489538643777
sigma_alpha,0.2204388702408151,0.2560014725082582,0.00725796974776112,0.14012854371155706,0.9828989392227612,0.0711778308675,0.04615171700143678,0.019050320000000003,0.05957355,0.188631525,0.14926103937331509,0.18027910757407067
beta[10],0.1404494383356567,0.1342587531262327,-0.1233935371346014,0.1433923877518858,0.40594650273266736,0.21525622471875,0.09762927817295136,0.028492145,0.2126575,0.40465725,0.0748067863830933,0.7271725373552249
beta[5],0.01240109351510161,0.17692004652003232,-0.3363975014252984,0.01800402350836818,0.349324694386667,0.048548436235925,0.10418233435698993,-0.154961075,0.04792275,0.25259670000000006,0.03614734272082339,0.588866758777353
beta[6],-0.20131358908732688,0.18799078067346825,-0.5733365115348984,-0.19866168826115857,0.1664683409244106,-0.1812443405936,0.10758796369286466,-0.39809005000000003,-0.17931,0.029116710000000046,0.020069248493726877,0.5723044678437729
beta[8],0.22817462156593613,0.13364780223299572,-0.02785754880614593,0.23114151982648612,0.4841071454490443,0.21555215431925,0.08807270588440372,0.041221820000000006,0.2158245,0.38576940000000004,0.012622467246686114,0.6589910526988063
beta[3],0.17391273398800944,0.1645995220896925,-0.1530764141556177,0.1750472017159547,0.4806600283221621,0.1844302415535,0.0539429820137099,0.0810823275,0.185315,0.29033280000000006,0.010517507565490553,0.3277225919545237
beta[4],0.3342074227634847,0.2033271080975436,-0.06471482240868999,0.3356452085205979,0.7175278077279654,0.32737877282775,0.1379953805890209,0.05651370000000001,0.32709200000000005,0.5960362250000001,0.006828649935734676,0.6786865847854353
beta[1],-0.2741563925271463,0.04298370599211037,-0.35861680902968074,-0.2745839543097223,-0.1892951920938214,-0.2797092755,0.044783883022871646,-0.366588825,-0.279115,-0.19221387499999998,0.005552882972853723,1.041880451887785
beta[7],-0.22152482962265083,0.08630092634569304,-0.39097067573927485,-0.22002283480470708,-0.05528247511558874,-0.2162554817125,0.06051962864350946,-0.333741975,-0.2167775,-0.0982586475,0.005269347910150823,0.7012627929518136
beta[2],0.01886878962799278,0.04472959107995995,-0.06518575706294706,0.01951196460307128,0.10962222006749776,0.0170247661026825,0.049705919627494495,-0.0794622025,0.0164655,0.11562242500000001,0.001844023525310278,1.111253611476991
beta[9],0.06148847881028911,0.12635636639310452,-0.18756086262620217,0.06420871100145711,0.3009566136408326,0.06203402666770875,0.07614006105617621,-0.091892775,0.061970899999999995,0.21436195000000005,5.455478574196357e-4,0.6025819135958574
