parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,khat
beta[1],-0.2797092755,NA,0.044783883022871646,-0.366588825,-0.3103855,-0.279115,-0.24930925,-0.19221387499999998,NA,1.0473016779570823
beta[2],0.0170247661026825,NA,0.049705919627494495,-0.0794622025,-0.015952425,0.0164655,0.05046895,0.11562242500000001,NA,1.058360057726601
beta[3],0.1844302415535,NA,0.0539429820137099,0.0810823275,0.148038,0.185315,0.22115825,0.29033280000000006,NA,1.0500458781301516
beta[4],0.32737877282775,NA,0.1379953805890209,0.05651370000000001,0.23301249999999998,0.32709200000000005,0.4206475,0.5960362250000001,NA,1.0458523026823587
beta[5],0.048548436235925,NA,0.10418233435698993,-0.154961075,-0.020828425,0.04792275,0.1193275,0.25259670000000006,NA,1.0558660055901932
beta[6],-0.1812443405936,NA,0.10758796369286466,-0.39809005000000003,-0.25555,-0.17931,-0.10768050000000001,0.029116710000000046,NA,1.043607512987044
beta[7],-0.2162554817125,NA,0.06051962864350946,-0.333741975,-0.25689175,-0.2167775,-0.17538875,-0.0982586475,NA,1.0539553565409163
beta[8],0.21555215431925,NA,0.08807270588440372,0.041221820000000006,0.15647875,0.2158245,0.274533,0.38576940000000004,NA,1.0505649455766808
beta[9],0.06203402666770875,NA,0.07614006105617621,-0.091892775,0.01143185,0.061970899999999995,0.11193525000000001,0.21436195000000005,NA,1.05459949082872
beta[10],0.21525622471875,NA,0.09762927817295136,0.028492145,0.1469005,0.2126575,0.28216125,0.40465725,NA,1.0467568422558535
c[1],-0.894135973,NA,0.05278916324489608,-0.99854085,-0.92922575,-0.8951279999999999,-0.8601544999999999,-0.7907966000000001,NA,1.0328680962618169
c[2],1.7741799975,NA,0.07130153327795226,1.634562,1.7251174999999999,1.773505,1.8216525,1.9146752500000002,NA,1.0448077064021606
mu_alpha,0.69358369675,NA,0.045772925780065754,0.602453375,0.6628095,0.6933775,0.7243195000000001,0.78411205,NA,1.0393915513898864
sigma_alpha,0.0711778308675,NA,0.04615171700143678,0.019050320000000003,0.04006705,0.05957355,0.087846125,0.188631525,NA,1.0587354793283623
