model,n_parameters,median_abs_mean_diff,median_sd_ratio_vi_to_nuts,p10_sd_ratio_vi_to_nuts,p90_sd_ratio_vi_to_nuts
Model1,13,0.008539536222522237,0.664892015891036,0.313507950980475,0.9379151636640448
Model2,17,0.03614734272082339,0.5723044678437729,0.07070987080713716,0.8530557031682491
