model,elpd_loo,se_elpd_loo,p_loo,looic
Model2,-2136.730568539328,24.109309717160432,14.061290973462775,4273.461137078656
Model1,-2136.883274387316,24.130509942260446,12.943770130797535,4273.766548774632
