ideology,mean,sd,q025,q50,q975
Liberal,0.14532555987623505,0.8896712001045625,-1.6330702674659958,0.16192907920303226,1.8552310863217574
Moderate,0.005213399522083787,0.8924929192164905,-1.795717086209313,0.02415463599914284,1.6924859646144301
Conservative,0.09326076527957687,0.8888221915929926,-1.6527041763274248,0.1106963165730652,1.8197925350373214
