model,prior,median_abs_mean_shift,median_sd_ratio_vs_base
Model1,tight,0.004932716780720195,0.9501399338501192
Model1,wide,0.01386024612961248,1.0380342865227807
Model2,tight,0.03900822606520574,0.5407605615701878
Model2,wide,0.04796167915216991,2.1033793718981753
